curve_name,adate,year,rate
USD_SWAP,2025-05-20,1,4.24
USD_SWAP,2025-05-20,2,3.9
USD_SWAP,2025-05-20,3,3.83
USD_SWAP,2025-05-20,4,3.84
USD_SWAP,2025-05-20,5,3.88
USD_SWAP,2025-05-20,6,3.93
USD_SWAP,2025-05-20,7,3.99
USD_SWAP,2025-05-20,8,4.04
USD_SWAP,2025-05-20,9,4.09
USD_SWAP,2025-05-20,10,4.13
USD_SWAP,2025-05-20,12,4.11
USD_SWAP,2025-05-20,15,4.3
USD_SWAP,2025-05-20,20,4.35
USD_SWAP,2025-05-20,25,4.32
USD_SWAP,2025-05-20,30,4.27
